identificador;nombre;tipoMonumento;identificadorBienInteresCultural;calle;clasificacion;tipoConstruccion;codigoPostal;Descripcion;periodoHistorico;coordenadas_latitud;coordenadas_longitud;poblacion_provincia;poblacion_municipio;poblacion_localidad;pto_geolocalizado;poblacion;coordenadas
25149;Iglesia de Nuestra Señora la Real y Antigua de Gamonal;Iglesias y Ermitas;1741;;Arquitectura Religiosa;Iglesia;9003;"<p>Data del siglo XIV con torre sobre la portada. El interior es de una sola nave y presenta un &aacute;bside cuadrado y en el p&oacute;rtico un calvario g&oacute;tico y puerta mud&eacute;jar.</p>
<p>En 1074, Alfonso VI traslad&oacute; el Obispado de Oca.</p>";Edad Moderna;42.35386;-3.66666;Burgos;Burgos;Burgos;42.35386,-3.66666;"{""provincia"": ""Burgos"", ""municipio"": ""Burgos"", ""localidad"": ""Burgos""}";"{""latitud"": ""42.35386"", ""longitud"": ""-3.66666""}"
25152;Iglesia de San Juan de Rabanera;Iglesias y Ermitas;13891;;Arquitectura Religiosa;Iglesia;42003;"<p align=""justify"">Monumento nacional. Iglesia del s. XII de planta cruciforme, en la que se mezclan influencias orientales con recuerdos cl&aacute;sicos y tanteos ojivales.</p>
<p align=""justify"">El &aacute;bside presenta una interesante decoraci&oacute;n de motivos vegetales y dos vanos apuntados, de influencia isl&aacute;mica. La portada de poniente pertenece a la que fuera la Iglesia de San Nicol&aacute;s, cuyas ruinas se hallan en la Calle Real.</p>";Edad Media;41.763108;-2.46607;Soria;Soria;Soria;41.763108,-2.46607;"{""provincia"": ""Soria"", ""municipio"": ""Soria"", ""localidad"": ""Soria""}";"{""latitud"": ""41.763108"", ""longitud"": ""-2.46607#""}"
25167;Monasterio Iglesia de Santiago;Iglesias y Ermitas;5237;;Arquitectura Religiosa;Iglesia;24415;"<p>El monje eremita San Genadio, que lleg&oacute; a ser obispo de Astorga, fund&oacute; este monasterio que fue construido entre los a&ntilde;os 909 y 916. La iglesia data de fechas algo posteriores y fue consagrada en el 1105.</p>
<p>En el a&ntilde;o 1968 se inicia la restauraci&oacute;n del templo y en 1985 se descubren, en el costado norte, los cimientos de las dependencias del monasterio, que se extiende en una amplia superficie.</p>
<p>La construcci&oacute;n, muy bien conservada a pesar de su antig&uuml;edad, ofrece en su exterior un conjunto arm&oacute;nico y bien proporcionado en sus vol&uacute;menes.</p>";Edad Media;42.427252;-6.540918;León;Ponferrada;Peñalba de Santiago;42.427252,-6.540918;"{""provincia"": ""León"", ""municipio"": ""Ponferrada"", ""localidad"": ""Peñalba de Santiago""}";"{""latitud"": ""42.427252"", ""longitud"": ""-6.540918""}"
25187;Ermita de San Baudelio;Iglesias y Ermitas;12928;;Arquitectura Religiosa;Ermita;42367;"<p align=""justify"">Construida a finales del siglo XI, bajo la advocaci&oacute;n de San Baudelio, la ermita se ejecut&oacute; en estilo moz&aacute;rabe. Constituye la joya m&aacute;s original y de la arquitectura prerrom&aacute;nica soriana. Su apariencia exterior es muy sencilla, s&oacute;lo destaca la puerta en arco de herradura.</p>
<p align=""justify"">Todas las paredes estaban cubiertas de pintura al temple, rom&aacute;nicas y moz&aacute;rabes, parte de las cuales se conservan all&iacute;, y otras, que fueron arrancadas, se conservan en los museos de Boston y El Prado.</p>
<p align=""justify"">Consta de dos cuerpos rectangulares, realizados con mamposter&iacute;a; la puerta de acceso tiene doble arco de herradura en las arquivoltas y jambas. En el &aacute;rea posterior del &aacute;bside, se encuentra una Necr&oacute;polis rupestre medieval, m&aacute;s de una veintena de tumbas de forma antropomorfa, toscamente talladas y , en alg&uacute;n caso, asociadas a modo de pante&oacute;n.</p>";Edad Media;41.418306;-2.790059;Soria;Caltojar;Casillas de Berlanga;41.418306,-2.790059;"{""provincia"": ""Soria"", ""municipio"": ""Caltojar"", ""localidad"": ""Casillas de Berlanga""}";"{""latitud"": ""41.418306"", ""longitud"": ""-2.790059""}"
25198;Iglesia de San Nicolás de Bari;Iglesias y Ermitas;1735;;Arquitectura Religiosa;Iglesia;9003;"<p>Se comenz&oacute; a principios del siglo XV. La sencillez de su fachada contrasta con la riqueza que alberga en su interior. Destaca el retablo en piedra de Sim&oacute;n de Colonia, sepulcros g&oacute;ticos y arco renacentista del sepulcro de Fernando de Mena y Mar&iacute;a S&aacute;ez de O&ntilde;a.&nbsp;</p>";Edad Moderna;42.340773;-3.705457;Burgos;Burgos;Burgos;42.340773,-3.705457;"{""provincia"": ""Burgos"", ""municipio"": ""Burgos"", ""localidad"": ""Burgos""}";"{""latitud"": ""42.340773"", ""longitud"": ""-3.705457""}"
25200;Iglesia de San Pedro y San Ildefonso;Iglesias y Ermitas;17277;;Arquitectura Religiosa;Iglesia;49001;"<p align=""justify"">Iniciada en el XII en estilo rom&aacute;nico, fue renovada en el s. XV en estilo g&oacute;tico con una cubierta de b&oacute;veda de crucer&iacute;a.</p>
<p align=""justify"">Conocida como Iglesia Arciprestal, en esta iglesia se veneran los cuerpos de San Ildefonso y San Atilano (patronos de la ciudad y de la di&oacute;cesis respectivamente).&nbsp;</p>";"Edad Moderna;Edad Media";41.500514;-5.750972;Zamora;Zamora;Zamora;41.500514,-5.750972;"{""provincia"": ""Zamora"", ""municipio"": ""Zamora"", ""localidad"": ""Zamora""}";"{""latitud"": ""41.500514"", ""longitud"": ""-5.750972""}"
25202;Iglesia de Santa María de la Antigua;Iglesias y Ermitas;15907;Plaza de Portugalete, S/N;Arquitectura Religiosa;Iglesia;47002;"<p align=""justify"">Iglesia que conserva todav&iacute;a restos rom&aacute;nicos, como la torre y claustro norte, cuya cronolog&iacute;a entra ya en el siglo XIII. La torre es sin duda motivo peculiar de la fisonom&iacute;a monumental de la ciudad y constituye su emblema.</p>
<p align=""justify"">Est&aacute; situada a los pies del templo, con entrada desde dentro. Los arcos se decoran con puntas de clavo. Conserva la torre su cubierta de forma piramidal, con el tejado en forma de escamas, ya que su lejano modelo de esta torre es lombardo.</p>
<p align=""justify"">El claustro se emparenta con el de las Huelgas de Burgos, en el costado norte del edificio, ya que constitu&iacute;a un mirador sobre el ramal del r&iacute;o Esgueva que por all&iacute; pasaba. En el siglo XIV, se derrib&oacute; el cuerpo del edificio rom&aacute;nico, quedando s&oacute;lo la torre y el p&oacute;rtico.&nbsp;</p>";"Edad Moderna;Edad Media";41.654007;-4.722848;Valladolid;Valladolid;Valladolid;41.654007,-4.722848;"{""provincia"": ""Valladolid"", ""municipio"": ""Valladolid"", ""localidad"": ""Valladolid""}";"{""latitud"": ""41.654007"", ""longitud"": ""-4.722848""}"
25226;La Clerecía;Iglesias y Ermitas;9690;C/ Compañía, s/n;Arquitectura Religiosa;Iglesia;37008;"<p align=""justify"">Tambi&eacute;n llamada del Esp&iacute;ritu Santo, era la iglesia del Colegio Real de la Compa&ntilde;&iacute;a de Jes&uacute;s, construida en el siglo XVII.&nbsp;</p>
<p align=""justify"">Su interior es de cruz latina, con tres naves con capillas laterales y crucero sobre el que se levanta una c&uacute;pula de m&aacute;s de 50 metros de altura. El retablo barroco del altar mayor, construido en 1675, nos muestra el tema de la Pentecost&eacute;s y en lo alto la aparici&oacute;n de la Virgen a San Ignacio, todo ello barroco.</p>
<p align=""justify"">Tras la expulsi&oacute;n de los jesuitas por Carlos III, la iglesia pas&oacute; a depender de la Real Clerec&iacute;a de San Marcos, de donde tom&oacute; su nombre actual y el Real Colegio fue durante muchos a&ntilde;os Seminario Conciliar.</p>";Edad Moderna;40.962991;-5.666252;Salamanca;Salamanca;Salamanca;40.962991,-5.666252;"{""provincia"": ""Salamanca"", ""municipio"": ""Salamanca"", ""localidad"": ""Salamanca""}";"{""latitud"": ""40.962991"", ""longitud"": ""-5.666252""}"
25248;Iglesia de la Asunción de Nuestra Señora;Iglesias y Ermitas;3319;Plaza de la Trinidad, 5;Arquitectura Religiosa;Iglesia;9342;"<p>Construcci&oacute;n de los siglos XIII al XVI, con portada lateral del siglo XVI. Torre plateresca comenzada por Diego de Silo&eacute; en 1527 y acabada por Juan de Salas en 1534, est&aacute; considerada como la m&aacute;s notable del renacimiento hisp&aacute;nico.</p>
<p>Es iglesia de tres naves, m&aacute;s elevada la central, a lo que se a&ntilde;adi&oacute; a fines del siglo XV un crucero y la capilla mayor. Entre las obras de arte hay pinturas de Pedro Berruguete, hispanoflamencas, barrocas, sepulcros, piezas de plater&iacute;a...</p>";"Edad Moderna;Edad Media";42.131672;-3.975477;Burgos;Santa María del Campo;Santa María del Campo;42.131672,-3.975477;"{""provincia"": ""Burgos"", ""municipio"": ""Santa María del Campo"", ""localidad"": ""Santa María del Campo""}";"{""latitud"": ""42.131672"", ""longitud"": ""-3.975477""}"
25250;Iglesia de San Antolín;Iglesias y Ermitas;15441;Tratado de Tordesillas, s/n;Arquitectura Religiosa;Iglesia;47100;<p>Iglesia fundada a finales del siglo XV, en la que resalta su retablo mayor, con pinturas de Felipe de Mena (XVII). Las pinturas del retablo de la capilla de los Acevedo son obra del maestro de Portillo y una Inmaculada de Pedro de Mena.</p><p>Construida en piedra y ladrillo es una iglesia de una sola nave con capillas laterales y destaca su capilla de los Alderete, de finales del siglo XV, que constituye la parte más antigua de la Iglesia. Actualmente, alberga un pequeño museo con piezas procedentes de otros edificios de la ciudad de Tordesillas y esculturas de Juan de Juni.</p>;Edad Moderna;41.499809;-5.000593;Valladolid;Tordesillas;Tordesillas;41.499809,-5.000593;"{""provincia"": ""Valladolid"", ""municipio"": ""Tordesillas"", ""localidad"": ""Tordesillas""}";"{""latitud"": ""41.499809"", ""longitud"": ""-5.000593""}"
25257;Iglesia de Santa María de Siones;Iglesias y Ermitas;3641;De la Iglesia;Arquitectura Religiosa;Iglesia;9589;<p>Iglesia del último cuarto del XII y comienzos del XIII. De una sola nave abovedada, con dos tramos y un crucero que resalta por su mayor altura, una cabecera con capilla absidal semicircular y un tramo recto que se corresponde con el presbiterio.</p><p>Llama la atención la estructura y decoración del ábside y de los dos edículos que se localizan a cada lado del tramo que se corresponde con el incipiente crucero. La iconografía, tanto del exterior como del interior de los citados edículos, es una de las más personales, insólitas, y sorprendentes de todo el variado y abundante arte románico burgalés. Escenas misteriosas, seres fantásticos, originales temas vegetales y diversos animales fabulosos forman parte de un complejo corpus de difícil interpretación para los especialistas.</p>;Edad Media;43.06734;-3.31897;Burgos;Valle de Mena;Barriolaza;43.06734,-3.31897;"{""provincia"": ""Burgos"", ""municipio"": ""Valle de Mena"", ""localidad"": ""Barriolaza""}";"{""latitud"": ""43.06734"", ""longitud"": ""-3.31897""}"
25266;Iglesia parroquial de San Juan Bautista;Iglesias y Ermitas;11319;Norte;Arquitectura Religiosa;Iglesia;40176;<p>Se distinguen tres etapas constructivas. A la primera época corresponde la cabecera, siendo la parte más antigua, del siglo XII o comienzos del XIII. De los siglos XVI y XVII son los arcos formeros que separan las dos naves de la iglesia, mientras que el pórtico y la torre pertenecen al siglo XVIII, época en la que el templo sufre importantes transformaciones. La última restauración fue entre 1981 y 1983 que elimina la tercera nave devolviendo al templo su primitiva imagen.</p><p>El pórtico labrado en tierra caliza, constituye uno de los conjuntos escultóricos más ricos del románico segoviano. Presenta en su lado sur una serie de ocho arcos de medio punto, originariamente sobre columnas geminadas.</p>;"Edad Moderna;Edad Media";41.159234;-3.767798;Segovia;Orejana;Arenal (El);41.159234,-3.767798;"{""provincia"": ""Segovia"", ""municipio"": ""Orejana"", ""localidad"": ""Arenal (El)""}";"{""latitud"": ""41.159234"", ""longitud"": ""-3.767798""}"
25269;Iglesia de San Miguel y San Julián;Iglesias y Ermitas;15893;C/ San Ignacio, 8;Arquitectura Religiosa;Iglesia;47003;<p>Iglesia construida en el último cuarto del siglo XVI gracias al patronato de los Condes de Fuensaldaña. Finalizó la obra en 1590 y supone una copia fiel de la colegiata de Villagarcía de Campos.</p><p>La planta se constituye con un rectángulo, con capillas entre los contrafuertes, y la fachada es del tipo viñolesco usado por los jesuitas: dos cuerpos, más estrecho el alto, con frontón de remate. Sobre la portada está la imagen de San Miguel, de finales del Siglo XV, y entrando en el presbiterio están las estatuas de los arcángeles San Rafael y San Gabriel de Gregorio Fernández. Deben mencionarse dos pinturas del Siglo XVI, que deben contemplarse desde un extremo, mediante lo cual pueden verse los retratos de Carlos V y de la emperatriz Isabel.</p>;Edad Moderna;41.655426;-4.728417;Valladolid;Valladolid;Valladolid;41.655426,-4.728417;"{""provincia"": ""Valladolid"", ""municipio"": ""Valladolid"", ""localidad"": ""Valladolid""}";"{""latitud"": ""41.655426"", ""longitud"": ""-4.728417""}"
25275;Iglesia de Santa María de Arbas;Iglesias y Ermitas;5970;Cª Asturias;Arquitectura Religiosa;Iglesia;24690;<p>Muestra del último románico leonés, obra de los siglos XII y XIII, perteneció a los canónigos regulares de San Agustín. El templo tiene tres naves y cuatro pilares que soportan los arcos de medio punto que dividen las naves.</p><p>Su fundación inicial, en el S. XII se debe al conde Fruela, cuñado del Cid. Fue regida como Colegiata y Hospedería por agustinos regulares. El declive la redujo a simple parroquia, siendo restaurada tras la guerra civil. El edificio es de finos sillares de arenisca gris. La capilla gótica es posterior, del siglo XII, y del siglo XVII son la sacristía, la torre, el pórtico y el abovedamiento de la nave central.</p>;Edad Media;42.99327;-5.74450;León;Villamanín;Arbas del Puerto;42.99327,-5.7445;"{""provincia"": ""León"", ""municipio"": ""Villamanín"", ""localidad"": ""Arbas del Puerto""}";"{""latitud"": ""42.99327"", ""longitud"": ""-5.74450""}"
25290;Iglesia de Santiago (Alba de Tormes);Iglesias y Ermitas;8411;Hospital, 19;Arquitectura Religiosa;Iglesia;37800;"<p>Templo del segundo tercio del siglo XII, de peque&ntilde;as proporciones y una sola nave, originalmente rom&aacute;nico- mud&eacute;jar, es la m&aacute;s antigua de la villa, citada en el fuero como lugar de reuni&oacute;n del concejo. En este momento acoge el Museo de Alfarer&iacute;a.</p>
<p>De la construcci&oacute;n original rom&aacute;nico mud&eacute;jar s&oacute;lo queda la cabecera del templo, decorada por tres series de arquer&iacute;as ciegas, algunas trilobuladas. Destaca su portada rom&aacute;nica como una de las pocas que se conservan en la regi&oacute;n. En su interior tiene dos sepulcros g&oacute;ticos y un retablo barroco, una sencilla l&aacute;pida de m&aacute;rmol se&ntilde;ala el enterramiento de don Gutierre &Aacute;lvarez de Toledo, primer se&ntilde;or de Alba de Tormes.</p>";Edad Media;40.826885;-5.511694;Salamanca;Alba de Tormes;Alba de Tormes;40.826885,-5.511694;"{""provincia"": ""Salamanca"", ""municipio"": ""Alba de Tormes"", ""localidad"": ""Alba de Tormes""}";"{""latitud"": ""40.826885"", ""longitud"": ""-5.511694""}"
25291;Iglesia de la Abadía de Santa María de Burgohondo o Santa María de Fondo;Iglesias y Ermitas;631;Pza. Abadía, s/n;Arquitectura Religiosa;Iglesia;5113;"<p>Fundado en 1.178 por bula del Papa Alejandro III, cuenta con un artesonado mudéjar del s. XVI y una cruz del s. XVII; el coro data también del siglo XVI. Se pueden apreciar las tumbas de los abades de este monasterio.</p><p>Antiguo lugar perteneciente a la orden militar de San Juan de Jerusalén. Abadía de la orden de San Agustín, joya del románico abulense del siglo XII. Su iglesia se alza junto a los restos de un claustro del siglo XVI. Lo más notable es su orla, llena de figuras realizadas con gran delicadeza.</p>";Edad Media;40.41605;-4.78593;Ávila;Burgohondo;Burgohondo;40.41605,-4.78593;"{""provincia"": ""Ávila"", ""municipio"": ""Burgohondo"", ""localidad"": ""Burgohondo""}";"{""latitud"": ""40.41605"", ""longitud"": ""-4.78593""}"
25293;Iglesia de Nuestra Señora de la Asunción;Iglesias y Ermitas;13410;Pza. Mayor, s/n;Arquitectura Religiosa;Iglesia;42223;"<p align=""justify"">La iglesia fue iniciada en el siglo XV y tiene un aspecto g&oacute;tico que se rompe con la torre plateresca; Es tambi&eacute;n renacentista y fue mandada construir por el Se&ntilde;or Hurtado de Mendoza y su esposa Do&ntilde;a Leonor del R&iacute;o, como reza en una inscripci&oacute;n de la Fachada. Es&nbsp;de una sola nave con tres tramos, cubiertos todos con b&oacute;vedas de terceletes; cabecera pentagonal cubierta con b&oacute;veda de crucer&iacute;a estrellada, capillas laterales y tribuna en alto a los pies.</p>
<p align=""justify"">La portada, hispano flamenca, presenta un arco carpanel. La torre, del plateresco soriano, tiene reminiscencias g&oacute;ticas, como el doble alfiz quebrado, y es lo m&aacute;s interesante de la parte exterior. Los temas vegetales de inspiraci&oacute;n naturalista y la decoraci&oacute;n de soga, en los capiteles. En el interior se conserva el sepulcro de los Hurtado de Mendoza de factura hispano flamenca y con decoraci&oacute;n de gusto &aacute;rabe, el &oacute;rgano, el p&uacute;lpito decorado con formas platerescas, un buen retablo barroco y una imagen rom&aacute;nica de la Virgen de la Muela.</p>";"Edad Moderna;Edad Media";41.415173;-2.412802;Soria;Morón de Almazán;Morón de Almazán;41.415173,-2.412802;"{""provincia"": ""Soria"", ""municipio"": ""Morón de Almazán"", ""localidad"": ""Morón de Almazán""}";"{""latitud"": ""41.415173"", ""longitud"": ""-2.412802""}"
25296;Iglesia parroquial de San Román;Iglesias y Ermitas;15263;;Arquitectura Religiosa;Iglesia;47530;"<p>Iglesia barroca del siglo XVIII con planta en forma de 'T', de una sola nave reforzada por contrafuertes y dos capillas laterales a los pies.</p>
<p>Las primeras noticias se refieren a un monasterio fundado por Chindasvinto, dedicado a San Rom&aacute;n, para que all&iacute; fueran enterrados &eacute;l y su mujer Reciberga. En la primera mitad del siglo X, el monasterio es reedificado en estilo moz&aacute;rabe, sufriendo sucesivas reformas. Conserva del que fuera monasterio, seis capiteles visigodos y columnas de m&aacute;rmol; dos de estos capiteles unidos por los collarinos, uno sirve de peana y otro de pila, formando la pila de agua bendita.</p>";Edad Moderna;41.480343;-5.284167;Valladolid;San Román de Hornija;San Román de Hornija;41.480343,-5.284167;"{""provincia"": ""Valladolid"", ""municipio"": ""San Román de Hornija"", ""localidad"": ""San Román de Hornija""}";"{""latitud"": ""41.480343"", ""longitud"": ""-5.284167""}"
25299;Iglesia Santo Tomás de las Ollas;Iglesias y Ermitas;5310;Plaza Campín, 6;Arquitectura Religiosa;Iglesia;24416;<p>No existe documentación sobre la fundación del templo, que tuvo lugar en el siglo X. En 1311 la iglesia fue donada por el obispo de Astorga al monasterio de San Pedro de Montes. Los documentos de esta iglesia pasaron a formar parte del archivo del monasterio, el cual se incendió, y posiblemente por este motivo no exista documentación.</p><p>La nave se comunica con el ábside mediante un arco triunfal de herradura de doble anillo, y es el primer doble arco conocido de la arquitectura española de la Edad Media y en su estructura formal, uno de los más antiguos del mundo. Destaca la bóveda de hormigón que cubre el ábside, ya que es el único ejemplar conocido con este tipo de solución, dentro de la arquitectura mozárabe. A finales del Siglo XVII se rebajó la altura de la nave, con artesonado morisco, se levantó la espadaña y se abrió una puerta finalmente en el S. XIX se le añadió la sacristía.</p>;Edad Media;42.554723;-6.579417;León;Ponferrada;Santo Tomas de las Ollas;42.554723,-6.579417;"{""provincia"": ""León"", ""municipio"": ""Ponferrada"", ""localidad"": ""Santo Tomas de las Ollas""}";"{""latitud"": ""42.554723"", ""longitud"": ""-6.579417""}"
25306;Ermita de Nuestra Señora de Tiermes;Iglesias y Ermitas;13365;;Arquitectura Religiosa;Ermita;42341;<p>Pequeño templo románico del siglo XII, en torno al cual se localiza una necrópolis medieval. Destaca el ábside de medio punto y la galería porticada con rica y variada decoración de capiteles y canecillos.</p><p>La ermita santuario fue antes la iglesia del monasterio de Santa María de Tiermes y luego parroquia de la aldea, hasta que ésta quedó despoblada. Posiblemente se trataba de un monasterio dúplice, ya que se habla del Monasterio de San Salvador y Santa María de Tiermes. El Santuario de Tiermes fue junto con el de Nuestra Señora del Monte de Caracena, punto de encuentro de los pueblos pertenecientes a la Comunidad de Villa y Tierra , que acudían con sus cruces , estandartes y pendones a rendir homenaje a Santa María.</p>;Edad Media;41.331674;-3.147658;Soria;Montejo de Tiermes;Montejo de Tiermes;41.331674,-3.147658;"{""provincia"": ""Soria"", ""municipio"": ""Montejo de Tiermes"", ""localidad"": ""Montejo de Tiermes""}";"{""latitud"": ""41.331674"", ""longitud"": ""-3.147658""}"
25307;Ermita de Santa Ana;Iglesias y Ermitas;15183;;Arquitectura Religiosa;Ermita;47831;<p>Levantada en la primera mitad del siglo XVI. Posee un hermoso camarín que está pavimentado con cerámica de Talavera y está rodeada de un gran pórtico construido en tapial.</p><p>Construcción de tapial y piedra, de una sola nave, con espadaña a los pies y pórtico formado por seis columnas. La nave se cubre con armadura mudéjar del siglo XVI, en forma de artesa invertida con cuatro fajones inclinados decorados con doce pinturas sobre tabla del Antiguo Testamento. Las paredes laterales conservan restos de pintura policromada, con motivos florales y geométricos, imitando cortinajes y azulejos.</p>;Edad Moderna;41.816879;-5.260161;Valladolid;Pozuelo de la Orden;Pozuelo de la Orden;41.816879,-5.260161;"{""provincia"": ""Valladolid"", ""municipio"": ""Pozuelo de la Orden"", ""localidad"": ""Pozuelo de la Orden""}";"{""latitud"": ""41.816879"", ""longitud"": ""-5.260161""}"
25310;Iglesia de San Martín;Iglesias y Ermitas;9960;Pza. del Corrillo, s/n;Arquitectura Religiosa;Iglesia;37002;<p>Fundada en 1.103 por Martín Fernández, su edificación duró todo el siglo XII. De las dos portadas la del norte conserva su estructura original con una serie de arquivoltas de medio punto decoradas con temas geométricos y vegetales, y sobre ellas un relieve de San Martín de Tours, de principios de siglo.</p><p>La portada sur, también románica, está protegida por una fachada construida en 1586 en estilo renacentista. Los pilares presentan un plinto redondo común y llevan capiteles con decoración en fauna y vegetal. A los pies se encuentra el coro, de principios del siglo XVI, con bóveda de crucería estrellada, subiéndose a él por una escalera renacentista.</p>;Edad Media;40.964375;-5.664466;Salamanca;Salamanca;Salamanca;40.964375,-5.664466;"{""provincia"": ""Salamanca"", ""municipio"": ""Salamanca"", ""localidad"": ""Salamanca""}";"{""latitud"": ""40.964375"", ""longitud"": ""-5.664466""}"
25315;Iglesia parroquial de Lois;Iglesias y Ermitas;4673;Manuel Rodríguez, s/n;Arquitectura Religiosa;Iglesia;24991;"<p>Obra de gran sencillez y austeridad. Es de planta cl&aacute;sica con una &uacute;nica nave y crucero de brazos cortos, se cubre con b&oacute;veda de ca&ntilde;&oacute;n y c&uacute;pula de media naranja.</p>
<p>La actual denominaci&oacute;n de Lois deriva del t&eacute;rmino Loides, puede venir de la voz eusqu&eacute;rica 'Lodi', que significa lugar de barro. La construcci&oacute;n del templo se debe a tres obispos que dio el pueblo y a Don Jer&oacute;nimo R. Casta&ntilde;&oacute;n que fund&oacute; la preceptoria de Lois, llamada 'Catedral de la monta&ntilde;a', y el arquitecto fue Fabi&aacute;n Cabezas. Pr&aacute;cticamente todos los habitantes de Lois pertenec&iacute;an a la nobleza, lo cual se refleja en el gran n&uacute;mero de escudos que adornan las fachadas.</p>";Edad Moderna;42.982839;-5.146342;León;Crémenes;Lois;42.982839,-5.146342;"{""provincia"": ""León"", ""municipio"": ""Crémenes"", ""localidad"": ""Lois""}";"{""latitud"": ""42.982839"", ""longitud"": ""-5.146342""}"
25325;Iglesia de Santa María;Iglesias y Ermitas;14703;Sta. María, s/n;Arquitectura Religiosa;Iglesia;47420;<p>Iglesia de estilo románico-mudéjar. En su exterior destaca su ábside de ladrillo rojo macizo típico de la zona, y el resto del templo lo constituyen pequeños altares de estilo barroco y tallas del XVIII, destacando una Piedad del XVI.</p>;Edad Media;41.364281;-4.53076;Valladolid;Íscar;Íscar;41.364281,-4.53076;"{""provincia"": ""Valladolid"", ""municipio"": ""Íscar"", ""localidad"": ""Íscar""}";"{""latitud"": ""41.364281"", ""longitud"": ""-4.5307#6""}"
25344;Iglesia de San Pedro;Iglesias y Ermitas;309;Pza. de Santa Teresa, s/n;Arquitectura Religiosa;Iglesia;5001;<p>Robusta construcción con sillares de piedra arenisca, fiel ejemplo del románico abulense. Destaca el rosetón cisterciense de su portada principal.</p><p>Ante la fachada de esta Iglesia juraron acatamiento los Reyes Católicos y Carlos I a los fueros de Castilla. Precedida por un atrio descubierto, muestra en su sobria fachada una portada de sencillas arquivoltas con columnas de fustes y capiteles lisos, sobre la que destaca el rosetón. Tiene un triple ábside de traza románica y en el interior se inicia la transición al gótico, que culmina con la bóveda estrellada de la linterna. Se puede decir que es una segunda versión de San Vicente más tardía.</p>;Edad Media;40.654182;-4.695265;Ávila;Ávila;Ávila;40.654182,-4.695265;"{""provincia"": ""Ávila"", ""municipio"": ""Ávila"", ""localidad"": ""Ávila""}";"{""latitud"": ""40.654182"", ""longitud"": ""-4.695265""}"
25347;Iglesia de San Juan Ante Portam Latinam;Iglesias y Ermitas;9113;;Arquitectura Religiosa;Iglesia;37129;"<p>Datada en el siglo XII, de nave &uacute;nica y peque&ntilde;as dimensiones, se encuentra en estado de abandono, sin cubierta. Destaca el arco rebajado que separa la nave de la cabecera as&iacute; como la portada meridional, anta&ntilde;o cobijada por un p&oacute;rtico. Es de medio punto con &uacute;nica arquivolta adornada con un friso de rosetas.</p>
<p>Sobre ella destaca una imposta de motivos vegetales y cabezas de felinos en cuya factura vemos relaci&oacute;n con el taller que particip&oacute; en la iglesia de Almenara de Tormes.</p>
<p>Mayor calidad y otra mano m&aacute;s experimentada demuestran los tres modillones sobre ella, uno representando una cabeza entre toneles, otra mostrando dos pel&iacute;canos enfrentados bebiendo de la fuente de la vida, y una cabeza de elefante. El alero est&aacute; sostenido por canecillos con figuras animales.</p>";Edad Media;40.977108;-5.72014;Salamanca;Doñinos de Salamanca;Santibáñez del Rio;40.977108,-5.72014;"{""provincia"": ""Salamanca"", ""municipio"": ""Doñinos de Salamanca"", ""localidad"": ""Santibáñez del Rio""}";"{""latitud"": ""40.977108"", ""longitud"": ""-5.72014#""}"
25353;Iglesia parroquial de San Pedro (Villoria);Iglesias y Ermitas;10503;Plaza Constitución, 18;Arquitectura Religiosa;Iglesia;37339;"<p>De estilo rom&aacute;nico-mud&eacute;jar, primera mitad del siglo XIII, de nave &uacute;nica con un presbiterio muy marcado, &aacute;bside semicircular y torre cuadrada. En el siglo XVI se a&ntilde;adieron dos naves laterales.</p>
<p>La cabecera se cubre con una b&oacute;veda de horno apuntada. Est&aacute; levantada sobre un z&oacute;calo de siller&iacute;a y se decora con ocho arcadas ciegas y apuntadas que cobijan otras m&aacute;s peque&ntilde;as, frisos de esquinilla y un recrecimiento posterior. El &aacute;bside ten&iacute;a dos retablos laterales y un frontal que fue sustituido por uno de piedra en 1796 y est&aacute; presidido por un valioso Cristo del siglo XIV y dos tallas de San Ant&oacute;n y Santa B&aacute;rbara, del siglo XVII.</p>";Edad Media;40.99533;-5.37456;Salamanca;Villoria;Villoria;40.99533,-5.37456;"{""provincia"": ""Salamanca"", ""municipio"": ""Villoria"", ""localidad"": ""Villoria""}";"{""latitud"": ""40.99533"", ""longitud"": ""-5.37456""}"
25359;Iglesia de Santa María;Iglesias y Ermitas;1382;Pza. de Santa María, s/n;Arquitectura Religiosa;Iglesia;9400;<p>La iglesia se comenzó en la segunda mitad del siglo XV de estilo gótico burgalés tardío. En el interior presenta tres naves y crucero, y en una de las portadas aparecen los escudos de los Reyes Católicos y los de Aranda.</p><p>Destaca la fachada sur concebida como un gran retablo al aire libre y atribuida a Simón de Colonia, con escenas del Nacimiento, La Pasión y la Resurrección de Cristo, al igual que las esculpidas puertas, la crestería de agudos pináculos y el púlpito que labraron Miguel de Espinosa y Juan de Cambray.</p>;Edad Media;41.671414;-3.689142;Burgos;Aranda de Duero;Aranda de Duero;41.671414,-3.689142;"{""provincia"": ""Burgos"", ""municipio"": ""Aranda de Duero"", ""localidad"": ""Aranda de Duero""}";"{""latitud"": ""41.671414"", ""longitud"": ""-3.689142""}"
