Fichero actualizado a fecha: 2025-05-07 04:08:56
"Título";"Nombre";"Descripción";"Directorio";"Fotografia";"ExperienciaProfesional";"FechaPosesion";"FormacionAcademica";"LugarNacimiento";"Retribuciones";"Curriculum";"CurriculumLargo";Identificador;actualizacionMetadatos;Enlace al contenido;
"Directora General de Políticas Culturales";"Inmaculada Martínez Merino";;"Directora General de Políticas Culturales";"https://datosabiertos.jcyl.es/web/jcyl/binarios/600/116/22-Cargo-DG-Politicas-Culturales.jpg?blobheader=image%2Fjpeg&amp;blobheadername1=Cache-Control&amp;blobheadername2=Expires&amp;blobheadername3=Site&amp;blobheadervalue1=no-store%2Cno-cache%2Cmust-revalidate&amp;blobheadervalue2=0&amp;blobnocache=true";"<ul>
<li>Funcionaria del Cuerpo de Superior de la Administración General de la Junta de Castilla y León.</li>
<li>Técnico de gestión en el Servicio Territorial de Economía y Hacienda de Palencia (marzo - agosto 2001)</li>
<li>Técnico en el Servicio de Contratación Administrativa de la Consejería de Medio Ambiente (noviembre 2001-diciembre 2007)</li>
<li>Profesora de la Escuela de la Administración de la Comunidad de Castilla y León (ECLAP) en materia de contratación pública (2004-2007)</li>
<li>Técnico en el Servicio de Evaluación, Normativa y Procedimiento de la Consejería de Familia e Igualdad de Oportunidades (enero-mayo 2008)</li>
<li>Jefa de Servicio de Educación Ambiental en la Consejería de Medio Ambiente (junio 2008-junio 2011)</li>
<li>Asesoramiento, incidencia y diseño de la planificación estratégica en el Proyecto tri-frontera Bolivia-Chile-Perú de la Fundación Servicio Jesuita a Migrantes y Refugiados de Chile y colaboración con acciones formativas en el Instituto de Ética y Desarrollo de la Universidad Antonio Ruiz de Montoya Lima (julio de 2011 - diciembre de 2013)</li>
<li>2014-2021 Desempeña tareas de Técnico y, posteriormente, de Jefa de Servicio de Relaciones Laborales en la Dirección General de Trabajo y Prevención de Riesgos Laborales de la Consejería de Empleo e Industria.</li>
<li>Directora General de Trabajo y Prevención de Riesgos Laborales (septiembre 2021-11 de mayo 2022).</li>
</ul>";"20220511";"<ul>
<li>Licenciada en Derecho. Universidad de Valladolid.</li>
<li>Diploma de Estudios Avanzados. Programa de Doctorado en Derecho. Universidad de Valladolid.</li>
<li>Especialista en Cooperación Internacional al Desarrollo. Universidad de Valladolid.</li>
</ul>";;;;;1285128534197;20220630;"https://gobierno.jcyl.es/web/jcyl/Gobierno/es/Plantilla100Detalle/1246464876027/Cargo/1285128534197/Organigrama";
"Directora General de Presupuestos, Fondos Europeos y Estadística";"María Isabel Campos López";;"Directora General de Presupuestos Fondos Europeos y Estadística";"https://datosabiertos.jcyl.es/web/jcyl/binarios/588/343/22Cargo-DG-Presupuestos.jpg?blobheader=image%2Fjpeg&amp;blobheadername1=Cache-Control&amp;blobheadername2=Expires&amp;blobheadername3=Site&amp;blobheadervalue1=no-store%2Cno-cache%2Cmust-revalidate&amp;blobheadervalue2=0&amp;blobnocache=true";"<ul>
<li>Profesora en la Facultad de Ciencias Económicas y Empresariales, en el departamento de Fundamentos del Análisis Económico, Historia e Instituciones Económicas de la Universidad de Valladolid.</li>
<li>Miembro del Grupo de Investigación de Excelencia de Castilla y León sobre Eficiencia y Solidaridad desde 2009.</li>
<li>Investigadora interna de la Fundación Centro de Estudios Andaluces (centrA) desde septiembre de 2001, en el grupo de trabajo de Macroeconomía Abierta.</li>
<li>Docencia principalmente en las áreas de Macroeconomía, Comercio internacional y Coyuntura económica. Publicaciones de libros y monografías referentes a comercio internacional y a análisis de coyuntura económica y social en Castilla y León.</li>
<li>Trabajos científicos publicados en revistas nacionales e internacionales como Applied Economics, Economics Bulletin, Revista de Economía Aplicada, Información comercial española o cuadernos de economía entre otras.</li>
<li>Otras publicaciones de Castilla y León en el Boletín Económico de Castilla y León o en el Anuario Ámbito de Castilla y León.</li>
<li>Otros trabajos de investigación financiados por la Comisión Interministerial de Ciencia y Tecnología, Junta de Castilla y León, Caja Rural del Duero o Ayuntamiento de Valladolid.</li>
<li>Concejala en el Ayuntamiento de Palencia, miembro de las comisiones informativas de las áreas de Hacienda y Desarrollo Económico y Empleo durante el periodo junio de 2003 hasta junio de 2007 y desde junio de 2007 hasta junio de 2011.</li>
<li>Presidenta de la Comisión Gestora del Ayuntamiento de Lantadilla (Palencia) desde abril de 2018 hasta junio de 2019.</li>
</ul>";"20200724";"<ul>
<li>Doctora en Ciencias Económicas y Empresariales por la Universidad de Valladolid.</li>
<li>Premio extraordinario de doctorado por la Facultad de Ciencias Económicas y Empresariales de la Universidad de Valladolid (sección de economía) en el curso 1998-1999</li>
</ul>";;;;;1284972380340;20220705;"https://gobierno.jcyl.es/web/jcyl/Gobierno/es/Plantilla100Detalle/1246464876027/Cargo/1284972380340/Organigrama";
"Directora General de Recursos Humanos";"María Teresa Barroso Botrán";;"Directora General de Recursos Humanos";"https://datosabiertos.jcyl.es/web/jcyl/binarios/479/705/20-EDU-Directora-recursos-humanos,0.jpg?blobheader=image%2Fjpeg&amp;blobheadername1=Cache-Control&amp;blobheadername2=Expires&amp;blobheadername3=Site&amp;blobheadervalue1=no-store%2Cno-cache%2Cmust-revalidate&amp;blobheadervalue2=0&amp;blobnocache=true";"<p>Ingreso en el Cuerpo de Letrados de la Comunidad Autónoma de Castilla y León, el 13 de septiembre de 2000, desempeñando los siguientes puestos de trabajo:</p>
<p>Letrada de la Asesoría Jurídica de la Delegación Territorial de la Comunidad Autónoma de Castilla y León en Burgos, desde septiembre de 2.000, hasta 2 de abril de 2003.</p>
<p>Letrada de la Asesoría Jurídica Delegación Territorial de la Comunidad Autónoma de Castilla y León en Ávila, hasta el 31 de mayo de 2003.</p>
<p>Letrada Jefe de la Asesoría Jurídica de la Delegación Territorial de la Comunidad Autónoma de Castilla y León en Ávila, hasta el 4 de junio de 2004.</p>
<p>Letrada Jefe de la Consejería de Educación, desde el 5 de junio de 2004.</p>";"20200824";"<ul>
<li>Licenciada en Derecho por la Universidad de Valladolid</li>
</ul>";;;;;1284978219832;20220623;"https://gobierno.jcyl.es/web/jcyl/Gobierno/es/Plantilla100Detalle/1246464876027/Cargo/1284978219832/Organigrama";
"Directora General de Relaciones Institucionales";"Irene Muñoz Vicente";;"Directora General de Relaciones Institucionales";"https://datosabiertos.jcyl.es/web/jcyl/binarios/839/535/22-Cargo.-IRENE-MUNOZ_DG-RRII.jpg?blobheader=image%2Fjpeg&amp;blobheadername1=Cache-Control&amp;blobheadername2=Expires&amp;blobheadername3=Site&amp;blobheadervalue1=no-store%2Cno-cache%2Cmust-revalidate&amp;blobheadervalue2=0&amp;blobnocache=true";"<ul>
<li>Funcionaria de carrera, por turno libre, del Cuerpo Superior de la Administración de la Comunidad Autónoma de Castilla y León</li>
<li>Jefa del Servicio de Intermediación, Orientación y Ocupación en el Servicio Público de Empleo de Castilla y León</li>
<li>Asesora en la Viceconsejería de la Presidencia de la Junta de Castilla y León</li>
</ul>";"20220429";"<ul>
<li>Licenciada en Ciencias Políticas y de la Administración. Universidad de Burgos</li>
<li>Graduada en Derecho. Universidad de Valladolid</li>
<li>Curso de Posgrado: Programa de Liderazgo Público en Emprendimiento e Innovación. Universidad de Deusto</li>
<li>Máster Universitario en Acción Política, Fortalecimiento Institucional y Participación Ciudadana en el Estado de Derecho por la Universidad Francisco de Vitoria</li>
</ul>";;;;;1284885293288;20231106;"https://gobierno.jcyl.es/web/jcyl/Gobierno/es/Plantilla100Detalle/1246464876027/Cargo/1284885293288/Organigrama";
"Director General de Telecomunicaciones y Administración Digital";"Antonio Ibáñez Pascual";;"Director General de Telecomunicaciones y Administración Digital";"https://datosabiertos.jcyl.es/web/jcyl/binarios/844/501/22-Cargo-DG-Teleco-ANTONIO-IBANEZ-PASCUAL.jpg?blobheader=image%2Fjpeg&amp;blobheadername1=Cache-Control&amp;blobheadername2=Expires&amp;blobheadername3=Site&amp;blobheadervalue1=no-store%2Cno-cache%2Cmust-revalidate&amp;blobheadervalue2=0&amp;blobnocache=true";"<ul>
<li>Se incorporó a la Junta de Castilla y León en 2004, como Técnico en la Sección de Servicios de Internet y Seguridad.</li>
<li>Funcionario de carrera del Cuerpo Superior de Ingenieros de Telecomunicaciones de la Comunidad de Castilla y León desde 2006.</li>
<li>Desde 2008 ha desempeñado funciones de jefe de servicio en diferentes consejerías.</li>
<li>Ha dirigido y coordinado la presencia en Internet de la Junta de Castilla y León a través de los portales web corporativos entre 2005 y 2022.</li>
<li>Ha diseñado e impulsado la estrategia de Gobierno Abierto entre 2012 y 2022, con iniciativas de transparencia, datos abiertos, participación y redes sociales, que han obtenido diversos reconocimientos.</li>
<li>Profesor desde 2008 de diferentes cursos de formación de la Escuela de Administración Pública de Castilla y León.</li>
<li>En la empresa privada ha trabajado en Telefónica I+D y en Red Eléctrica Telecomunicaciones.</li>
<li>Ponente en múltiples jornadas y congresos, ha colaborado en numerosas publicaciones.</li>
</ul>";"20220511";"<ul>
<li>Ingeniero Superior de Telecomunicaciones por la Universidad de Valladolid</li>
<li>Máster en Liderazgo y Dirección Pública por la Universidad Internacional Menéndez Pelayo</li>
</ul>";;;;;1284885308137;20230317;"https://gobierno.jcyl.es/web/jcyl/Gobierno/es/Plantilla100Detalle/1246464876027/Cargo/1284885308137/Organigrama";
"Director General de Transparencia y Buen Gobierno";"José Máximo López Vilaboa";;"Director General de Transparencia y Buen Gobierno";"https://datosabiertos.jcyl.es/web/jcyl/binarios/308/472/20220429-MAXIMO-DG-Transparencia-BG.jpg?blobheader=image%2Fjpeg&amp;blobheadername1=Cache-Control&amp;blobheadername2=Expires&amp;blobheadername3=Site&amp;blobheadervalue1=no-store%2Cno-cache%2Cmust-revalidate&amp;blobheadervalue2=0&amp;blobnocache=true";"<ul>
<li>Abogado, perteneciendo al Colegio de Abogados de Burgos, en ejercicio desde 2002 hasta 2007 (actualmente como abogado no ejerciente)</li>
<li>Secretario-Interventor de la Administración Local en diferentes municipios de la provincia de Burgos (2007-2013) y Palencia (2019)</li>
<li>Diputado nacional (2013-2015)</li>
<li>Procurador en las Cortes de Castilla y León (2015-2019)</li>
<li>Concejal del Ayuntamiento de Aranda de Duero (1999-2013; 2015-2019). En distintos períodos: Primer, segundo y tercer teniente de alcalde; Concejal de Hacienda, Personal, Régimen Interior, Seguridad Ciudadana, Acción Social, Mujer, Festejos y Juventud.</li>
<li>Colaborador habitual en prensa escrita sobre temas históricos y autor de varias publicaciones.</li>
<li>Director General de Relaciones Institucionales de la Consejería de la Presidencia de la Junta de Castilla y León (2019-2022)</li>
</ul>";"20220429";"<ul>
<li>Licenciado en Derecho por la Universidad de Burgos</li>
<li>Máster Universitario en Derecho Matrimonial Canónico en la Universidad Internacional de La Rioja</li>
<li>Postgrado de Especialización de Agente de Igualdad de Oportunidades de Mujeres y Hombres en la Universidad de La Rioja</li>
<li>Postgrado de especialista en Derecho del Consumo en la Universidad de Burgos</li>
<li>Graduado en el Programa de Liderazgo Público en Emprendimiento e Innovación (PLPE) de la Deusto Business School, de Madrid</li>
</ul>";;;;;1285124220655;20230925;"https://gobierno.jcyl.es/web/jcyl/Gobierno/es/Plantilla100Detalle/1246464876027/Cargo/1285124220655/Organigrama";
"Directora General de Transportes y Logística";"Laura Paredes Aparicio";;"Directora General de Transportes y Logística";"https://datosabiertos.jcyl.es/web/jcyl/binarios/334/405/22-Cargo-LAURA-PAREDES-APARICIO.jpg?blobheader=image%2Fjpeg&amp;blobheadername1=Cache-Control&amp;blobheadername2=Expires&amp;blobheadername3=Site&amp;blobheadervalue1=no-store%2Cno-cache%2Cmust-revalidate&amp;blobheadervalue2=0&amp;blobnocache=true";"<ul>
<li>Funcionaria de Carrera del Cuerpo de Arquitectos de la Administración de la Comunidad de Castilla y León desde 2010.</li>
<li>Jefe de Servicio de Logística en la Dirección General de Transportes.</li>
<li>Técnico Facultativo del Cuerpo de Arquitectos en:
<ul>
<li>Consejería de Familia e Igualdad de Oportunidades. Gerencia de Servicios Sociales. Servicio de Infraestructura y Patrimonio.</li>
<li>Consejería de Fomento. Servicio Territorial de Fomento de Valladolid. Sección de Urbanismo y Sección de Rehabilitación y Financiación.</li>
<li>Consejería de Fomento. Servicio Territorial de Fomento de Ávila. Sección de Rehabilitación y Financiación</li>
<li>Consejería de Cultura y Turismo. Dirección General de Turismo. Servicio de Fomento de Inversiones Turísticas.</li>
<li>Consejería de Fomento y Medio Ambiente. Dirección General de Transportes</li>
<li>Consejería de Fomento. Servicio Territorial de Fomento de León. Sección de Urbanismo.</li>
</ul>
</li>
<li>Trabajador por cuenta propia como profesional autónomo.</li>
<li>Arquitecto en el Estudio de Arquitectura G-33 S.L. Departamento de Edificación y Urbanismo.</li>
</ul>";"20220511";"<ul>
<li>Titulación de Arquitecto por la Escuela Técnica Superior de Arquitectura - Universidad de Valladolid (1995 2003).</li>
</ul>";;;;;1284885515672;20231120;"https://gobierno.jcyl.es/web/jcyl/Gobierno/es/Plantilla100Detalle/1246464876027/Cargo/1284885515672/Organigrama";
"Directora General de Tributos y Financiación Autonómica";"Heidi Millán Arceo";;"Directora General de Tributos y Financiación Autonómica";"https://datosabiertos.jcyl.es/web/jcyl/binarios/43/555/19-DG-Tributos-FA-Heidi-Millan-Arceo,0.jpg?blobheader=image%2Fjpeg&amp;blobheadername1=Cache-Control&amp;blobheadername2=Expires&amp;blobheadername3=Site&amp;blobheadervalue1=no-store%2Cno-cache%2Cmust-revalidate&amp;blobheadervalue2=0&amp;blobnocache=true";"<ul>
<li>Funcionaria de carrera del Cuerpo Superior de Intervención y Contabilidad de la Administración de la Seguridad Social</li>
<li>Asimilada al Cuerpo Superior de Administración Económico- Financiera de la Administración de la Comunidad de Castilla y León</li>
<li>Supervisora de Auditoría de la Intervención General de la Administración de la Seguridad Social en la Administración General del Estado (2002-2006)</li>
<li>Interventora Delegada Jefe de Área en la Intervención Delegada Territorial de Tarragona de la Tesorería General de la Seguridad Social en la Administración General del Estado (2006-2007)</li>
<li>Interventora Delegada Adjunta en la Consejería de Agricultura y Ganadería (2007-2008)</li>
<li>Jefa de Servicio de Control Financiero de Administración General en la Intervención General de la Administración de la Comunidad de Castilla y León (2008-2016)</li>
<li>Coordinadora de Servicios en la Dirección General de Comercio y Consumo de la Consejería de Economía y Hacienda (2016-2018)</li>
<li>Directora General de Industria y Competitividad de la Junta de Castilla y León (2018-2019)</li>
<li>Presidenta de la Comisión de Reclamaciones Económico-Administrativas.</li>
<li>Miembro del Consejo Superior para la Dirección y Coordinación de la Gestión Tributaria.</li>
<li>Vocal del Consejo Regional de Defensa del Contribuyente.</li>
<li>Miembro de la Comisión General de Coordinación de las Comunidades Autónomas con el Ministerio de Economía y Hacienda y la Comisión Europea para la coordinación y ejecución de las funciones de control de los fondos europeos.</li>
<li>Dirección y coordinación de las visitas de auditoría de la Comisión Europea a la Junta de Castilla y León para auditar los proyectos y ayudas cofinanciados con fondos europeos.</li>
</ul>";"20190802";"<ul>
<li>Licenciada en derecho por la Universidad de Valladolid</li>
</ul>";;;;;1284885303415;20220705;"https://gobierno.jcyl.es/web/jcyl/Gobierno/es/Plantilla100Detalle/1246464876027/Cargo/1284885303415/Organigrama";
"Director General de Turismo";"Ángel González Pieras";;"Director General de Turismo";"https://datosabiertos.jcyl.es/web/jcyl/binarios/420/368/22-Cargo-DG-Turismo.jpg?blobheader=image%2Fjpeg&amp;blobheadername1=Cache-Control&amp;blobheadername2=Expires&amp;blobheadername3=Site&amp;blobheadervalue1=no-store%2Cno-cache%2Cmust-revalidate&amp;blobheadervalue2=0&amp;blobnocache=true";"<ul>
<li>Director gerente de La Pinilla S.A. (2011-2020)</li>
<li>Secretario del consejo de Administración de La Pinilla S.A. (2011-2020)</li>
<li>Director general de Gecobesa (2004-2005)</li>
<li>Consejero delegado de Panticosa Turística S.A. (1995-2002).</li>
<li>Consejero de la Sociedad de Desarrollo del Valle de Benasque S.A.(1992-1993)</li>
<li>Consejero de Nieve de Aragón S.A. (1992-1993)</li>
<li>Asesor y Coordinador del Gabinete Técnico (Unidad de Apoyo) del consejero de Industria, Comercio y Turismo del Gobierno de Aragón (1991-1993).</li>
<li>Jefe de Gabinete del consejero de Economía, Hacienda y Fomento (Industria, Comercio y Turismo) del Gobierno de Aragón (1995-1997)</li>
<li>Miembro de Patronato del Parque Nacional de Ordesa y Monte Perdido (1995-1999)</li>
<li>Codirector del Plan de Competitividad, Marketing y Desarrollo del Turismo Aragonés</li>
<li>Director Técnico del Plan Estratégico de la Nieve de Aragón</li>
<li>Miembro del Comité Técnico y del Comité Ejecutivo de ATUDEM (Asociación Española para el desarrollo del Turismo de Esquí y de Montaña)</li>
<li>Consejero delegado de Aragonesa de Avales, ARAVAL, SGR (1995-1999). Consejero delegado y director general de Aragonesa de Avales, ARAVAL, SGR (1999-2004)</li>
<li>Director general de El Adelantado de Segovia S.L. (2020-2022)</li>
<li>Secretario de la Fundación El Adelantado de Segovia (2021-2022)</li>
<li>Profesor de Sistemas Financieros y Control de Gestión en la Escuela Internacional de Negocios CESTE (1993-1995)</li>
<li>Profesor en el Master de Gestión Deportiva de la Universidad Europea de Madrid (2017)</li>
</ul>";"20220511";"<ul>
<li>Posgrado en Ingeniería de Organización Industrial. Centro Politécnico Superior. Universidad de Zaragoza.</li>
<li>Master en Dirección Económica y Financiera de Empresas. Centro de Estudios Financieros. Madrid.</li>
<li>Diplomado en Dirección Financiera. EADA Business School-CAI.</li>
<li>Técnico Superior Contable. Escuela Superior de Investigación y Técnicas Empresariales.</li>
</ul>";;;;;1284885400475;20220516;"https://gobierno.jcyl.es/web/jcyl/Gobierno/es/Plantilla100Detalle/1246464876027/Cargo/1284885400475/Organigrama";
"Directora de Universidades e Investigación";"Blanca Ares González";;"Directora de Universidades e Investigación";"https://datosabiertos.jcyl.es/web/jcyl/binarios/876/174/20-DG-Universidades-e-Investigacion-BLANCA-ARES,0.jpg?blobheader=image%2Fjpeg&amp;blobheadername1=Cache-Control&amp;blobheadername2=Expires&amp;blobheadername3=Site&amp;blobheadervalue1=no-store%2Cno-cache%2Cmust-revalidate&amp;blobheadervalue2=0&amp;blobnocache=true";"<ul>
<li>Directora General de Universidades e Investigación. Consejería de Educación (2019- actualidad)</li>
<li>Coordinadora de Servicios de la Dirección General de Universidades e Investigación. Consejería de Educación (2016-2019)</li>
<li>Funcionaria de Carrera del Cuerpo de Letrados de la Administración de la Comunidad de Castilla y León (desde 2008)</li>
<li>Letrada de la Asesoría Jurídica de la Delegación Territorial de Salamanca (2008-2010)</li>
<li>Letrada Jefe de la Asesoría Jurídica de la Delegación Territorial de Salamanca (2010-2016)</li>
<li>Profesora Asociada en el Departamento de Economía Aplicada de la Facultad de Derecho. Universidad de Salamanca (2017-2019)</li>
<li>Ponente en seminarios, congresos y encuentros nacionales e internacionales, participante como experta internacional en proyectos europeos y para Latinoamérica y colaboradora docente en el máster iberoamericano en compliance.</li>
</ul>";"20220511";"<ul>
<li>Licenciada en Derecho por la Universidad de Salamanca (2000-2005)</li>
<li>Movilidad Eramus durante el curso académico 2003/2004 en la Universidad de Bolonia, Italia.</li>
<li>Máster Universitario en Análisis Económico del Derecho y de las Políticas Públicas por la Universidad de Salamanca (2012-2014)</li>
<li>Estancia de investigación en el Departamento de Derecho Judicial de la Universidad Austral. Buenos Aires, Argentina. (2015)</li>
<li>Estudiante del programa de doctorado Estado de Derecho y Gobernanza Global&rdquo; de la Universidad de Salamanca (2014- actualidad)</li>
<li>Grado Medio. Especialidad piano. Conservatorio Profesional de Música Cristobal Halffter. Ponferrada (1990-1999)</li>
</ul>";;;;;1284885304992;20220516;"https://gobierno.jcyl.es/web/jcyl/Gobierno/es/Plantilla100Detalle/1246464876027/Cargo/1284885304992/Organigrama";
"Directora General de Vivienda, Arquitectura, Ordenación del Territorio y Urbanismo";"María Pardo Álvarez";;"Directora General de Vivienda Arquitectura Ordenación del Territorio y Urbanismo";"https://datosabiertos.jcyl.es/web/jcyl/binarios/816/1000/19-DG-Vivienda-MARIA-PARDO-ALVAREZ,0.jpg?blobheader=image%2Fjpeg&amp;blobheadername1=Cache-Control&amp;blobheadername2=Expires&amp;blobheadername3=Site&amp;blobheadervalue1=no-store%2Cno-cache%2Cmust-revalidate&amp;blobheadervalue2=0&amp;blobnocache=true";"<ul>
<li>Directora General de Vivienda, Arquitectura y Urbanismo de la Junta de Castilla y León (2019-2022), siendo designada Presidenta de la Comisión Especializada de Nombres Geográficos del Consejo Superior Geográfico (2019-2022) entre otros cargos</li>
<li>Directora General de Promoción Cultural de la Comunidad de Madrid (2017-2019), desempeñando también el cargo de Consejera Delegada de la empresa pública de Madrid Cultura y Turismo SAU, Secretaria del Consejo de Administración de Radio Televisión Madrid, S.A.U. y patrona de diversas instituciones culturales (Teatro Real, Real Fábrica de Tapices, Círculo de Bellas Artes, Consejo de Cultura de la Comunidad de Madrid, entre otras). En julio de 2019 ejerció también el cargo de Directora General de Patrimonio Cultural de la misma Consejería por suplencia</li>
<li>Ha sido asesora del Secretario General del Consejo de Gobierno de la Comunidad de Madrid (2016)</li>
<li>Profesora de Derecho Administrativo en la Facultad de Derecho de Valladolid (2010-en la actualidad bajo reserva por prestación de servicios especiales). Además, ha impartido docencia en cursos de doctorado y de postgrado en universidades españolas y extranjeras, y ha sido conferenciante en múltiples congresos científicos tanto nacionales como internacionales. Especialista en Derecho urbanístico, es autora de monografías y artículos en revistas científicas sobre urbanismo, medioambiente y derecho sancionador. Ha formado parte de varios proyectos de investigación financiados por organismos públicos nacionales y europeos; ha colaborado y dirigido la redacción de textos legislativos y es autora de más de cincuenta dictámenes e informes jurídicos para Ayuntamientos, empresas públicas y privadas y Colegios Profesionales.</li>
</ul>";"20220511";"<ul>
<li>Licenciada en Derecho por la Universidad de Valladolid (1994).</li>
<li>Estudios de doctorado en Derecho y Economía Públicos (1994-1996).</li>
<li>Obtención suficiencia investigadora (1997).</li>
<li>Doctora en Derecho y premio extraordinario de doctorado.</li>
<li>Ha realizado estancias investigadoras en varias universidades extranjeras.</li>
</ul>";;;;;1284885306546;20220616;"https://gobierno.jcyl.es/web/jcyl/Gobierno/es/Plantilla100Detalle/1246464876027/Cargo/1284885306546/Organigrama";
"Consejero de Economía y Hacienda";"Carlos Javier Fernández Carriedo";;"Consejero de Economía y Hacienda";"https://datosabiertos.jcyl.es/web/jcyl/binarios/991/943/2022-Cargo-Consejero-EYH-Portvoz-CARRIEDO.jpg?blobheader=image%2Fjpeg&amp;blobheadername1=Cache-Control&amp;blobheadername2=Expires&amp;blobheadername3=Site&amp;blobheadervalue1=no-store%2Cno-cache%2Cmust-revalidate&amp;blobheadervalue2=0&amp;blobnocache=true";"<ul>
<li>Ha sido Secretario del Comité de Inversiones Públicas de Castilla y León. Vocal del Grupo de Trabajo de Incentivos Económicos Territoriales y Jefe del Servicio de Estudios de la Consejería de Economía y Hacienda.</li>
<li>Fue miembro del Consejo Económico y Social de Castilla y León y Vicepresidente de la Comisión de Inversiones e Infraestructuras.</li>
<li>En la Junta de Castilla y León ha ocupado las responsabilidades de Director General de Presupuestos y Programación. Consejero de Sanidad y Bienestar Social, Portavoz de la Junta, consejero de Medio Ambiente y consejero de Empleo de la Junta de Castilla y León.</li>
<li>Ha desempeñado la responsabilidad de Portavoz del Grupo Parlamentario Popular de las Cortes de Castilla y León.</li>
<li>En la última legislatura, ha sido consejero de Economía y Hacienda de la Junta de Castilla y León y portavoz del Ejecutivo autonómico desde diciembre de 2021. Es procurador de las Cortes de Castilla y León de la XI legislatura.</li>
</ul>";"20220420";"<ul>
<li>Economista y funcionario del Cuerpo Superior de la Administración de la Comunidad Autónoma de Castilla y León en la Escala Económico-Financiera.</li>
</ul>";;;;;1284881917208;20220630;"https://gobierno.jcyl.es/web/jcyl/Gobierno/es/Plantilla100Detalle/1246464876027/Cargo/1284881917208/Organigrama";
"Gerente Servicio Público de Empleo";"Vacante";;"Gerente del Servicio Público de Empleo";;;;;;;;;1285124227745;20230317;"https://gobierno.jcyl.es/web/jcyl/Gobierno/es/Plantilla100Detalle/1246464876027/Cargo/1285124227745/Organigrama";
"Interventor General de la Administración de la Comunidad";"José María Martínez Marcos";;"Interventor General de la Administración de la Comunidad";"https://datosabiertos.jcyl.es/web/jcyl/binarios/9/422/22-Cargo-Interventor.jpg?blobheader=image%2Fjpeg&amp;blobheadername1=Cache-Control&amp;blobheadername2=Expires&amp;blobheadername3=Site&amp;blobheadervalue1=no-store%2Cno-cache%2Cmust-revalidate&amp;blobheadervalue2=0&amp;blobnocache=true";"<ul>
<li>Entre otros puestos ha sido Interventor Territorial de Valladolid, Interventor Delegado de la Consejería de Industria, Comercio y Turismo y desde el año 2003 hasta agosto del año 2021 ocupó el cargo de Viceinterventor en la Intervención General de la Administración de la Comunidad de Castilla y León.</li>
</ul>";"20210827";"<ul>
<li>Licenciado en Derecho por la Universidad de Valladolid.</li>
<li>Funcionario del Cuerpo Superior de Administración Económico-Financiera de la Administración de la Comunidad de Castilla y León desde el año 1992.</li>
</ul>";;;;;1285086563246;20220705;"https://gobierno.jcyl.es/web/jcyl/Gobierno/es/Plantilla100Detalle/1246464876027/Cargo/1285086563246/Organigrama";
"Presidente de la Junta de Castilla y León";"Alfonso Fernández Mañueco";;"Presidente de la Junta de Castilla y León";"https://datosabiertos.jcyl.es/web/jcyl/binarios/92/312/19-GOB-PresidenteJCYL,0.jpg?blobheader=image%2Fjpeg&amp;blobheadername1=Cache-Control&amp;blobheadername2=Expires&amp;blobheadername3=Site&amp;blobheadervalue1=no-store%2Cno-cache%2Cmust-revalidate&amp;blobheadervalue2=0&amp;blobnocache=true";"<p>Presidente del Partido Popular de Castilla y León desde 2017.</p>
<p>Fue alcalde de Salamanca de 2011 a 2018. Antes ocupó la presidencia de la Diputación de Salamanca, desde julio de 1996 hasta marzo de 2001, y cargos en la Junta de Castilla y León: consejero de Presidencia y Administración Territorial, entre marzo de 2001 y mayo de 2007; y Consejero de Interior y Justicia hasta abril de 2011.</p>
<p>Presidente de la Junta de Castilla y León desde 12 de julio de 2019.</p>";"20220419";"Licenciado en Derecho y Diplomado por la Escuela de Práctica Jurídica de la Universidad de Salamanca";;;;;1284880931117;20240927;"https://gobierno.jcyl.es/web/es/presidente/datos-biograficos-declaracion-bienes.html";
"Secretario General";"José Ángel Amo Martín";;"Secretario General de Economía y Hacienda";"https://datosabiertos.jcyl.es/web/jcyl/binarios/188/693/22Cargo-SG-Jose-Angel-Amo.jpg?blobheader=image%2Fjpeg&amp;blobheadername1=Cache-Control&amp;blobheadername2=Expires&amp;blobheadername3=Site&amp;blobheadervalue1=no-store%2Cno-cache%2Cmust-revalidate&amp;blobheadervalue2=0&amp;blobnocache=true";"<ul>
<li>Pertenece al Cuerpo de Gestión Económico-Financiera y al Cuerpo Superior de Administración Sanitaria de Castilla y León.</li>
<li>Entre otras responsabilidades ha sido jefe del Servicio de Suministros y Contratación Administrativa del Hospital Universitario Río Hortega así como Director General de Administración e Infraestructuras, Director General de Gestión Económica y Director Económico, Presupuestario y Financiero de la Gerencia Regional de Salud.</li>
<li>Entre 2013 y 2019 ha desempeñado el cargo de secretario general de la Consejería de Sanidad.</li>
<li>Desde 2019 es vocal del Consejo Regional de Defensa del Contribuyente.</li>
</ul>";"20190726";"<ul>
<li>Licenciado en Ciencias Económicas y Empresariales y estudios de Doctorado en Organización de Empresas.</li>
</ul>";;;;;1284883809848;20220705;"https://gobierno.jcyl.es/web/jcyl/Gobierno/es/Plantilla100Detalle/1246464876027/Cargo/1284883809848/Organigrama";
